City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
163,tuy hoa,13.0833,109.3,72.27,85,100,15.1,VN,1674009094
164,roxana,10.2753,-83.7513,78.03,97,66,2.39,CR,1674009094
165,margate,51.3813,1.3862,29.3,79,8,16.89,GB,1674009095
166,preobrazheniye,42.9019,133.9064,15.44,43,0,6.15,RU,1674008887
167,roald,62.5833,6.1333,37.76,93,100,4.61,NO,1674009095
168,kavieng,-2.5744,150.7967,80.42,75,100,4.85,PG,1674008803
169,jabinyanah,35.035,10.9081,57.0,52,46,18.28,TN,1674009096
170,chuy,-33.6971,-53.4616,68.34,81,0,7.9,UY,1674009097
171,bontang,0.1333,117.5,81.82,76,100,4.16,ID,1674009097
172,teguldet,57.3064,88.1667,-40.4,100,71,2.62,RU,1674009098
173,san policarpo,12.1791,125.5072,80.49,84,100,6.53,PH,1674009098
174,shelburne,44.0787,-80.2041,37.85,98,100,12.93,CA,1674009099
175,bambous virieux,-20.3428,57.7575,79.21,88,40,14.97,MU,1674008826
176,malumfashi,11.7853,7.6218,58.64,28,0,9.48,NG,1674009099
177,kirakira,-10.4544,161.9205,81.68,83,100,10.38,SB,1674008846
178,guasdualito,7.2424,-70.7324,76.96,88,0,2.3,VE,1674009100
179,hofn,64.2539,-15.2082,24.62,60,0,22.77,IS,1674009100
180,bowen,-20.0167,148.2333,78.69,75,100,20.58,AU,1674009101
181,college,64.8569,-147.8028,-4.94,81,20,5.75,US,1674008833
182,armizonskoye,55.9461,67.6736,1.96,82,66,7.74,RU,1674009012
183,dubbo,-32.25,148.6167,91.53,29,4,9.22,AU,1674009101
184,porto santo,33.072,-16.3415,59.38,67,40,19.57,PT,1674009102
185,chillicothe,39.3331,-82.9824,50.25,82,0,10.36,US,1674009093
186,mount gambier,-37.8333,140.7667,65.08,46,85,13.8,AU,1674009103
187,hasaki,35.7333,140.8333,50.29,72,96,11.23,JP,1674008993
188,narsaq,60.9167,-46.05,10.62,71,100,6.58,GL,1674009104
